pc11_district_id,pc11_state_id,vcf_min,vcf_max,vcf_mean,vcf_num_cells,year
152,09,0,51,8.666912401807746,132661.06582429243,2014
152,09,0,43,7.440022410604242,132661.06582596194,2015
152,09,0,43,5.124118492391552,132661.06582429243,2016
152,09,0,49,6.988494538136941,132661.06582596194,2017
152,09,0,46,8.019927174702921,132661.06582429243,2018
152,09,0,59,8.814852225424238,132661.06582429243,2019
152,09,1,53,10.929289504607622,132661.06582555448,2020
153,09,0,65,13.650115388981396,234569.9510716312,2001
153,09,0,68,11.446213265445309,234569.9510717586,2002
153,09,0,59,11.839529187735993,234569.9510717586,2003
153,09,0,71,14.583251633894118,234569.9510702435,2004
153,09,0,65,9.80131652291756,234569.9510717586,2005
153,09,0,67,13.868587499462976,234569.9510717586,2006
153,09,0,69,12.155388414953851,234569.95107135503,2007
153,09,0,65,12.587248331928318,234569.9510702435,2008
153,09,0,62,10.569332267694495,234569.9510716312,2009
153,09,0,68,10.06992237000913,234569.9510717586,2010
153,09,0,69,12.621082134409232,234569.9510717586,2011
153,09,0,62,10.291722947380752,234569.9510716312,2012
153,09,0,76,14.617542208213688,234569.9510717586,2013
153,09,0,60,15.902996707479751,234569.9510717586,2014
153,09,0,72,13.106963663866717,234569.9510716312,2015
153,09,0,66,11.521046010880072,234569.9510717586,2016
153,09,0,76,13.963828482489255,234569.9510716312,2017
153,09,0,65,13.786388002174313,234569.9510717586,2018
153,09,0,61,15.834672101003164,234569.9510717586,2019
153,09,1,76,17.79199708901562,234569.95107135503,2020
154,09,0,37,6.979042548359224,176072.60840790495,2001
154,09,0,38,4.281408059615182,176072.6084077817,2002
154,09,0,40,5.502181379221738,176072.6084077817,2003
154,09,0,33,6.567599367644218,176072.6084072389,2004
154,09,1,33,4.876776875141399,176072.6084077817,2005
154,09,0,33,5.110086452091753,176072.6084077817,2006
154,09,0,40,6.078908868967469,176072.60840763905,2007
154,09,0,33,7.532490697536076,176072.6084072389,2008
154,09,0,32,4.319987006624872,176072.60840790495,2009
154,09,0,30,4.619852099468028,176072.6084077817,2010
154,09,0,41,7.076742058839036,176072.6084077817,2011
154,09,0,36,4.448846447550894,176072.60840790495,2012
154,09,0,35,6.725438171539142,176072.6084077817,2013
154,09,0,36,8.499687706891255,176072.6084077817,2014
154,09,0,34,6.971420976395208,176072.6084079017,2015
154,09,0,27,4.666731630491227,176072.6084077817,2016
154,09,0,33,6.470055560008062,176072.6084079017,2017
154,09,0,35,7.922955913161298,176072.6084077817,2018
154,09,1,40,8.409228226509146,176072.6084077817,2019
154,09,1,42,11.697991866652638,176072.60840763905,2020
155,09,0,34,3.643163560017993,180604.80820582225,2001
155,09,0,37,3.01058025220071,180604.8082063181,2002
155,09,0,38,4.5862394436737,180604.8082063181,2003
155,09,0,27,4.390555239561354,180604.808206392,2004
155,09,0,33,4.969463178570735,180604.8082063181,2005
155,09,0,35,4.001792814437591,180604.8082063181,2006
155,09,0,40,3.129863358877083,180604.80820624076,2007
155,09,0,34,5.121321309477755,180604.808206392,2008
155,09,0,28,2.05334645364565,180604.80820582225,2009
155,09,0,27,3.0936210917728784,180604.8082063181,2010
155,09,0,40,4.138441083995627,180604.8082063181,2011
